@@,name,position
---,Álvaro González Ricci,Minister of Public Finance
---,Raúl Romero Segura,Minister of Social Development of Guatemala
---,Rafael Rodríguez Pellecer,Minister of Labour and Social Welfare of Guatemala
---,Mario Rojas Espino,Minister of Environment and Natural Resources  of Guatemala
---,Mario Búcaro,Minister of Foreign Affairs
---,José Ángel López,"Minister of Agriculture, Livestock and Food of Guatemala"
---,Javier Maldonado Quiñónez,"Minister of Communications, Infrastructure, and Housing"
---,Janio Rosales Alegría,Minister of the Economy of Guatemala
---,Henry Reyes Chigua,Minister of National Defence of Guatemala
---,Francisco Coma Martín,Minister for Health and Social Assistance of Guatemala
---,Felipe Aguilar Marroquín,Minister of Culture and Sports of Guatemala
---,David Napoleón Barrientos Girón,Minister of the Interior of Guatemala
---,César Guillermo Castillo Reyes,Vice President of Guatemala
---,Claudia Ruiz Casasola,Minister of Education of Guatemala
---,Alejandro Giammattei,President of the Republic of Guatemala
---,Alberto Pimentel Mata,Minister of Energy and Mines of Guatemala
