item,itemLabel,startDate,endDate
Q649389,Jorge García Granados,1945-01-10,1945-03-15
Q649389,Jorge García Granados,1945-03-20,1945-07-12
,Julio Bonilla González,1945-07-20,1946-02-28
,Gerardo Gordillo Barrios,1946-03-19,1947-02-28
Q5840731,Mario Monteforte Toledo,1947,1948-03
Q84570297,Víctor Giordani,1948,1948
,Óscar Barrios Castillo,1948,1948
Q5840731,Mario Monteforte Toledo,1949-03-01,1950-02-28
,Guillermo Fonseca Penedo,1950-03-01,1951-02-28
,Roberto Alvarado Fuentes,1951-03-01,1952-02-28
,Julio Estrada de la Hoz,1952-03-01,1953-02-28
,Guillermo Ovando Arriola,1953-03-01,1954-02-28
,Marco Antonio Franco Chacón,1954-03-01,1954-06-29
Q881015,Luis Arturo González López,1954-10-29,1956-02-28
Q881015,Luis Arturo González López,1956-03-01,1957-02-28
,Federico Carbonell Rodas,1957-03-01,1958-02-28
,Julio Prado García Salas,1958-03-01,1959-02-28
,Ernesto Viteri Bertrand,1959-03-01,1960-02-28
,Jorge Luis Zelaya Coronado,1960-03-01,1961-02-28
,Rubén Flores Avendaño,1961-03-01,1962-02-28
,Miguel Angel Ortega Mérida,1962-03-01,1963-02-28
,Manuel Orellana Portillo,1963-03-01,1963-03-31
,Vicente Diaz Samayoa,1964-07-06,1966-05-05
,Mario Fuentes Pieruccini,1966-05-05,1967-06-15
,José Gregorio Prem Beteta,1967-06-15,1968
,Manuel Francisco Villamar,1968,1969
,Enrique A. Claverie Delgado,1969,1970
Q1808196,Mario Sandoval Alarcón,1970,1974-06
,Luis Alfonso López,1974-06,1975-06
,Donaldo Álvarez Ruiz,1975-06,1976
,Luis Alfonso López,1976,1977
Q7282072,Rafael Castillo Valdez,1977,1978-06
,José Trinidad Uclés,1978,1979
,Manuel Salvador Polanco Ramírez,1979,1981
,Tomás Esteban Zepeda Guzmán,1981,1982
,Jorge Bonilla López,1982,1982-03
Q539891,Ramiro de León Carpio,1984-07,1986-01
Q3660560,Roberto Carpio,1984-07,1986-01
,Héctor Aragón Quiñónez,1984-07,1986-01
,Alfonso Cabrera Hidalgo,1986-01,1986
,Roberto Adolfo Valle Valdizán,1986,1987
,José Ricardo Gómez Gálvez,1987,1988
,Alfonso Alonso Barillas,1988,1989
,José Fernando Lobo Dubón,1989,1990
,Marco Antonio Dardón Castillo,1990-01,1991-01
,Ana Catalina Soberanis Reyes,1991-01,1992-01
Q3047936,Edmond Mulet,1992-01,1993-01
,José Fernando Lobo Dubón,1993-01,1993-06
,Óscar Vinicio Villar Anleu,1994-01,1994-09
Q110575794,Arabella Castro Quiñónez de Comparini,1994-09,1995-01
Q467077,José Efraín Ríos Montt,1995-01,1996
,Carlos Alberto García Regás,1996,1997
Q110575794,Arabella Castro Quiñónez de Comparini,1997,1998
,Rafael Eduardo Barrios Flores,1998,1999
,Leonel López Rodas,1999,2000-01
Q467077,José Efraín Ríos Montt,2000-01,2004-01
,Francisco Rolando Morales Chávez,2004-01,2005-01
,Jorge Méndez Herbruger,2005-01,2007-01
,Ruben Dario Morales Véliz,2007-01,2008-01
,Eduardo Meyer,2008-01,2009-01
,José Roberto Alejos Cámbara,2009-01,2012-01
,Gudy Rivera Estrada,2012-01,2013-01
,Pedro Muadi,2013-01,2014-01
,Arístides Crespo Villegas,2014-01,2015-01
Q22279821,Luis Rabbé,2015-01,2016-01
Q23304498,Mario Taracena,2016-01,2017-01
Q28837292,Óscar Chinchilla,2017-01,2018-01
Q27044664,Álvaro Arzú Escobar,2018-01,2020-01
Q97174505,Allan Rodríguez,2020-01,2022-01
Q108929476,Shirley Rivera,2022-01,
